epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,86988.6,1.83186,5.56391,1.77927,0.50481,0.43922,0.39918,0.1689,2.34422,9.56314,2.23715,0.000270882,0.000270882,0.000270882
119,87668.2,1.83636,5.46505,1.77381,0.52215,0.40996,0.42049,0.18473,2.344,9.64853,2.24177,0.000265428,0.000265428,0.000265428
120,88336.9,1.82584,5.39192,1.7667,0.50177,0.42322,0.4225,0.18384,2.34828,9.49446,2.25386,0.000259974,0.000259974,0.000259974
121,89005.1,1.82805,5.40039,1.7701,0.54399,0.40493,0.3995,0.16511,2.37228,10.1316,2.28035,0.00025452,0.00025452,0.00025452
122,89687.9,1.81178,5.40931,1.76281,0.43642,0.45925,0.3845,0.16255,2.35875,9.58962,2.26203,0.000249066,0.000249066,0.000249066
123,90401.8,1.82783,5.46262,1.76411,0.4344,0.4631,0.40386,0.17225,2.35899,10.2942,2.26218,0.000243612,0.000243612,0.000243612
124,91154.3,1.81907,5.43289,1.76883,0.55858,0.37932,0.39659,0.16944,2.3607,9.37703,2.26379,0.000238158,0.000238158,0.000238158
125,91865.8,1.80769,5.32133,1.7658,0.47605,0.45473,0.39794,0.17074,2.36847,10.1818,2.27796,0.000232704,0.000232704,0.000232704
126,92546,1.81765,5.42234,1.76229,0.52596,0.41362,0.40834,0.16858,2.37798,10.1655,2.27714,0.00022725,0.00022725,0.00022725
127,93248.1,1.82184,5.34776,1.76397,0.44865,0.43809,0.3818,0.15639,2.39116,11.0163,2.28316,0.000221796,0.000221796,0.000221796
128,93917.3,1.80775,5.38353,1.77009,0.48459,0.43235,0.40767,0.16654,2.38591,9.26517,2.29095,0.000216342,0.000216342,0.000216342
129,94605.6,1.79943,5.28185,1.75571,0.53075,0.40222,0.42654,0.17904,2.3871,10.115,2.28876,0.000210888,0.000210888,0.000210888
130,95282.2,1.79957,5.24962,1.74869,0.53624,0.40388,0.42457,0.17861,2.3745,9.50231,2.28689,0.000205434,0.000205434,0.000205434
131,95971.4,1.79008,5.19696,1.74271,0.45399,0.4568,0.40725,0.17373,2.37426,9.71409,2.29302,0.00019998,0.00019998,0.00019998
132,96652.9,1.80702,5.21411,1.75312,0.48459,0.4449,0.40242,0.16861,2.38546,10.2341,2.30244,0.000194526,0.000194526,0.000194526
133,97326.6,1.76978,4.97999,1.72054,0.42275,0.45227,0.40288,0.16587,2.39787,9.55724,2.29609,0.000189072,0.000189072,0.000189072
